Day Index	Sessions
9/1/14	0
9/2/14	0
9/3/14	0
9/4/14	0
9/5/14	0
9/6/14	0
9/7/14	0
9/8/14	0
9/9/14	0
9/10/14	0
9/11/14	0
9/12/14	0
9/13/14	0
9/14/14	0
9/15/14	0
9/16/14	0
9/17/14	0
9/18/14	0
9/19/14	0
9/20/14	0
9/21/14	0
9/22/14	0
9/23/14	0
9/24/14	0
9/25/14	0
9/26/14	0
9/27/14	0
9/28/14	0
9/29/14	0
9/30/14	0
10/1/14	0
10/2/14	0
10/3/14	0
10/4/14	0
10/5/14	0
10/6/14	0
10/7/14	0
10/8/14	0
10/9/14	0
10/10/14	0
10/11/14	0
10/12/14	0
10/13/14	0
10/14/14	0
10/15/14	0
10/16/14	0
10/17/14	0
10/18/14	0
10/19/14	0
10/20/14	0
10/21/14	0
10/22/14	0
10/23/14	0
10/24/14	0
10/25/14	0
10/26/14	0
10/27/14	0
10/28/14	0
10/29/14	0
10/30/14	0
10/31/14	0
11/1/14	0
11/2/14	0
11/3/14	0
11/4/14	0
11/5/14	0
11/6/14	0
11/7/14	0
11/8/14	0
11/9/14	0
11/10/14	0
11/11/14	0
11/12/14	0
11/13/14	0
11/14/14	0
11/15/14	0
11/16/14	0
11/17/14	0
11/18/14	0
11/19/14	0
11/20/14	0
11/21/14	0
11/22/14	0
11/23/14	0
11/24/14	0
11/25/14	0
11/26/14	0
11/27/14	0
11/28/14	0
11/29/14	0
11/30/14	0
12/1/14	0
12/2/14	0
12/3/14	0
12/4/14	0
12/5/14	5
12/6/14	7
12/7/14	1
12/8/14	5256
12/9/14	4207
12/10/14	1249
12/11/14	871
12/12/14	865
12/13/14	445
12/14/14	279
12/15/14	637
12/16/14	373
12/17/14	393
12/18/14	214
12/19/14	158
12/20/14	62
12/21/14	67
12/22/14	103
12/23/14	67
12/24/14	106
12/25/14	32
12/26/14	47
12/27/14	36
12/28/14	32
12/29/14	70
12/30/14	63
12/31/14	31
1/1/15	18
1/2/15	58
1/3/15	32
1/4/15	34
1/5/15	149
1/6/15	92
1/7/15	55
1/8/15	41
1/9/15	30
1/10/15	17
1/11/15	26
1/12/15	59
1/13/15	44
1/14/15	57
1/15/15	35
1/16/15	31
1/17/15	18
1/18/15	19
1/19/15	21
1/20/15	23
1/21/15	40
1/22/15	30
1/23/15	56
1/24/15	44
1/25/15	28
1/26/15	35
1/27/15	29
1/28/15	40
1/29/15	27
1/30/15	18
1/31/15	7
2/1/15	16
2/2/15	29
2/3/15	34
2/4/15	29
2/5/15	38
2/6/15	43
2/7/15	65
2/8/15	72
2/9/15	83
2/10/15	50
2/11/15	145
2/12/15	228
2/13/15	66
2/14/15	33
2/15/15	28
2/16/15	26
2/17/15	37
2/18/15	37
2/19/15	32
2/20/15	25
2/21/15	10
2/22/15	23
2/23/15	42
2/24/15	47
2/25/15	44
2/26/15	32
2/27/15	44
2/28/15	35
3/1/15	52
3/2/15	90
3/3/15	52
3/4/15	61
3/5/15	59
3/6/15	41
3/7/15	17
3/8/15	30
3/9/15	44
3/10/15	63
3/11/15	102
3/12/15	78
3/13/15	108
3/14/15	51
3/15/15	96
3/16/15	129
3/17/15	199
3/18/15	136
3/19/15	122
3/20/15	106
3/21/15	64
3/22/15	101
3/23/15	165
3/24/15	183
3/25/15	69
3/26/15	98
3/27/15	140
3/28/15	108
3/29/15	75
3/30/15	86
3/31/15	104
4/1/15	184
4/2/15	256
4/3/15	190
4/4/15	99
4/5/15	96
4/6/15	153
4/7/15	386
4/8/15	269
4/9/15	147
4/10/15	158
4/11/15	77
4/12/15	93
4/13/15	212
4/14/15	156
4/15/15	129
4/16/15	164
4/17/15	100
4/18/15	76
4/19/15	97
4/20/15	164
4/21/15	150
4/22/15	167
4/23/15	172
4/24/15	147
4/25/15	91
4/26/15	138
4/27/15	226
4/28/15	166
4/29/15	163
4/30/15	137
5/1/15	111
5/2/15	66
5/3/15	135
5/4/15	234
5/5/15	128
5/6/15	159
5/7/15	92
5/8/15	91
5/9/15	64
5/10/15	96
5/11/15	161
5/12/15	115
5/13/15	196
5/14/15	192
5/15/15	131
5/16/15	62
5/17/15	56

